time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-30T02:58:29.700Z,36.7133,-98.0994,6.405,2.5,ml,,119,,0.58,us,us10003jba,2015-10-02T04:26:40.030Z,"23km E of Cherokee, Oklahoma",earthquake
2015-09-30T02:28:21.100Z,36.761,-98.0698,5.591,2.7,ml,,52,,0.63,us,us10003j3b,2015-10-01T21:35:44.049Z,"25km E of Cherokee, Oklahoma",earthquake
2015-09-30T02:11:23.770Z,-7.2155,154.4664,27.09,5,mb,,58,3.778,0.88,us,us10003j1p,2015-09-30T10:13:59.499Z,"150km SW of Panguna, Papua New Guinea",earthquake
2015-09-30T02:00:04.530Z,-30.6353,-71.717,27.22,4.8,mb,,85,0.08,0.87,us,us10003j1k,2015-09-30T16:04:35.040Z,"49km W of Ovalle, Chile",earthquake
2015-09-30T01:40:23.930Z,-32.8927,-177.2108,20.05,4.8,mb,,222,3.688,0.43,us,us10003j1i,2015-09-30T09:43:00.707Z,"227km SE of L'Esperance Rock, New Zealand",earthquake
2015-09-30T01:32:04.000Z,-30.652,-71.717,31.9,3.8,mb,,,,1.23,us,us10003j1d,2015-10-01T23:29:26.805Z,"49km W of Ovalle, Chile",earthquake
2015-09-30T01:09:46.810Z,36.8648333,-89.4421667,8.74,2.74,md,69,57,0.06556,0.16,nm,nm60091442,2015-09-30T13:04:20.241Z,"10km SW of Charleston, Missouri",earthquake
2015-09-30T01:06:57.740Z,-31.5035,-71.7664,14.47,4.7,mb,,82,0.72,1.02,us,us10003j0n,2015-09-30T16:07:46.040Z,"58km WNW of Illapel, Chile",earthquake
2015-09-30T01:06:22.000Z,46.509,-80.898,1,3.1,mb_lg,,,,0.69,us,us10003j1h,2015-10-01T21:10:10.679Z,"7km ENE of Greater Sudbury, Canada",earthquake
2015-09-30T00:50:08.410Z,39.5896,75.0034,39.98,4.4,mb,,160,2.476,0.78,us,us10003j0e,2015-09-30T08:52:47.459Z,"85km W of Kashi, China",earthquake
2015-09-29T23:47:31.400Z,36.2529,-97.2314,5,2.6,ml,,55,,0.58,us,us10003j32,2015-10-02T04:19:48.997Z,"6km SE of Perry, Oklahoma",earthquake
2015-09-29T23:20:50.750Z,-2.5962,140.1994,19,5.4,mwb,,36,7.947,0.94,us,us10003iz7,2015-09-30T09:27:14.426Z,"42km W of Abepura, Indonesia",earthquake
2015-09-29T23:17:29.020Z,36.5966,-98.2005,5,3.2,mb_lg,,75,0.197,0.73,us,us10003iz3,2015-09-30T01:54:14.300Z,"8km NE of Helena, Oklahoma",earthquake
2015-09-29T23:11:37.200Z,36.6303,-98.2141,4.927,2.5,ml,,177,,0.63,us,us10003jce,2015-10-02T04:08:13.943Z,"10km NNE of Helena, Oklahoma",earthquake
2015-09-29T20:53:47.700Z,36.3716,-98.3242,5.331,2.7,ml,,101,,0.86,us,us10003iyx,2015-10-01T18:13:02.077Z,"18km NE of Fairview, Oklahoma",earthquake
2015-09-29T19:53:22.750Z,-3.4303,146.4065,24.22,5.3,mb,,38,5.982,1.1,us,us10003iy5,2015-09-29T21:41:50.883Z,"182km SSW of Lorengau, Papua New Guinea",earthquake
2015-09-29T19:37:45.400Z,23.9757,121.5665,22.31,4.2,mwr,,84,0.198,0.75,us,us10003iy1,2015-09-29T23:49:07.792Z,"3km W of Hualian, Taiwan",earthquake
2015-09-29T18:49:37.180Z,13.7043,-58.4516,8.03,5,mb,,99,1.213,0.99,us,us10003ixk,2015-09-30T16:11:53.553Z,"127km ENE of Bathsheba, Barbados",earthquake
2015-09-29T18:37:19.000Z,61.5127,-151.3624,61.4,2.5,ml,,,,0.71,ak,ak11726486,2015-09-30T02:40:02.423Z,"74km W of Big Lake, Alaska",earthquake
2015-09-29T17:50:14.450Z,1.5909,128.5652,53.88,5,mb,,32,1.448,1.13,us,us10003ix4,2015-09-30T01:52:54.955Z,"63km ESE of Tobelo, Indonesia",earthquake
2015-09-29T16:46:15.850Z,-31.5387,-72.0341,10,4.5,mb,,190,0.927,0.49,us,us10003iwh,2015-09-30T00:48:48.212Z,"83km W of Illapel, Chile",earthquake
2015-09-29T16:33:27.760Z,30.3205,69.9278,17.08,4.5,mb,,155,4.274,1.1,us,us10003iwf,2015-09-30T00:36:03.986Z,"60km NE of Barkhan, Pakistan",earthquake
2015-09-29T16:12:53.800Z,13.8399,-58.4046,10,4.7,mb,,99,1.319,0.74,us,us10003iw1,2015-09-30T00:15:37.030Z,"138km ENE of Bathsheba, Barbados",earthquake
2015-09-29T15:53:49.030Z,45.7228,26.7268,121,4.1,ml,,39,0.14,0.57,us,us10003iw9,2015-09-29T23:56:22.171Z,"1km NE of Nereju, Romania",earthquake
2015-09-29T15:35:20.760Z,-5.4144,151.9997,52.18,5.4,mb,,37,6.224,0.57,us,us10003ivk,2015-09-29T23:37:56.483Z,"121km SSW of Kokopo, Papua New Guinea",earthquake
2015-09-29T15:26:48.770Z,-26.8963,-63.3891,559.03,4.2,mb,,39,5.128,0.73,us,us10003ivd,2015-09-29T23:29:33.428Z,"21km NW of El Hoyo, Argentina",earthquake
2015-09-29T15:11:18.700Z,18.0233,-65.3951,18,2.7,Md,4,262.8,0.16618833,0.1,pr,pr15272005,2015-09-30T19:12:30.040Z,"11km SE of Esperanza, Puerto Rico",earthquake
2015-09-29T15:02:13.680Z,17.7611,-102.2601,20.27,5,mb,,92,2.115,0.83,us,us10003iv8,2015-09-30T20:01:43.270Z,"22km SSW of Lazaro Cardenas, Mexico",earthquake
2015-09-29T14:53:26.810Z,36.5688333,-121.1351667,10.06,2.67,md,65,55,0.04462,0.08,nc,nc72532611,2015-09-29T22:36:05.147Z,"23km NE of Soledad, California",earthquake
2015-09-29T14:45:16.690Z,-13.7253,167.2383,136.02,4.8,mb,,85,1.712,0.8,us,us10003iv6,2015-09-29T22:47:51.486Z,"37km WNW of Sola, Vanuatu",earthquake
